trial_index,run_name,group,seed,collision_reward,high_speed_reward,right_lane_reward,model_path,video_path,mean_reward,std_reward,eval_collision,eval_episode_length,eval_episode_reward,eval_mean_abs_delta_steering,eval_mean_abs_delta_throttle,eval_mean_forward_speed,eval_offroad,eval_right_lane_ratio,eval_steering_var,eval_throttle_var,elapsed_seconds
1,t01_crm075_hs025_rl000,grid,42,-0.75,0.25,0.0,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t01_crm075_hs025_rl000\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t01_crm075_hs025_rl000\t01_crm075_hs025_rl000-episode-0.mp4,15.382757488184032,8.47671479251719,0.9,18.5,15.382757488184032,0.0009143937146291137,0.0008288947370601818,24.815234184265137,0.1,0.5445402979850769,1.5011547397136837e-05,1.1894355424146852e-05,
2,t02_crm075_hs025_rl005,grid,43,-0.75,0.25,0.05,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t02_crm075_hs025_rl005\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t02_crm075_hs025_rl005\t02_crm075_hs025_rl005-episode-0.mp4,88.35542975836957,54.90429319696676,0.5,119.0,88.35542975836957,0.039329656213521955,0.005166123504750431,13.281167888641358,0.5,0.49681822061538694,0.03547563711181283,0.0022833900307887233,3412.3204367160797
3,t03_crm075_hs025_rl010,grid,44,-0.75,0.25,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t03_crm075_hs025_rl010\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t03_crm075_hs025_rl010\t03_crm075_hs025_rl010-episode-0.mp4,84.10748108204042,58.60981243147232,0.4,114.4,84.10748108204042,0.048564926534891126,0.005110174580477178,13.639110946655274,0.6,0.5156019359827042,0.044742595998104664,0.002328450967615936,4726.5572826862335
4,t04_crm075_hs040_rl000,grid,45,-0.75,0.4,0.0,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t04_crm075_hs040_rl000\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t04_crm075_hs040_rl000\t04_crm075_hs040_rl000-episode-0.mp4,62.393092204390165,49.73375165385738,0.6,93.8,62.393092204390165,0.044878637231886384,0.004620463470928371,16.853931188583374,0.4,0.49207798540592196,0.018981573253404348,0.0013691786809431506,4148.8469388484955
5,t05_crm075_hs040_rl005,grid,46,-0.75,0.4,0.05,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t05_crm075_hs040_rl005\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t05_crm075_hs040_rl005\t05_crm075_hs040_rl005-episode-0.mp4,65.25438873757207,48.146780571620454,0.6,99.5,65.25438873757207,0.046726996451616286,0.004345005191862583,14.995118331909179,0.4,0.4786719083786011,0.02562139688525349,0.0012939029242261314,3879.311614513397
6,t06_crm075_hs040_rl010,grid,47,-0.75,0.4,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t06_crm075_hs040_rl010\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t06_crm075_hs040_rl010\t06_crm075_hs040_rl010-episode-0.mp4,58.49037011563837,32.20208788543543,0.5,88.3,58.49037011563837,0.04089269358664751,0.00468824973795563,16.156362056732178,0.5,0.5727804988622666,0.007914149202406406,0.00126141207801993,3859.7034249305725
7,t07_crm075_hs060_rl000,grid,48,-0.75,0.6,0.0,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t07_crm075_hs060_rl000\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t07_crm075_hs060_rl000\t07_crm075_hs060_rl000-episode-0.mp4,41.66855586168642,37.07711117687281,0.9,70.7,41.66855586168642,0.04360865578055382,0.003776156227104366,19.423925924301148,0.1,0.5257032990455628,0.022272117750253527,0.00039114190476539077,3562.5380821228027
8,t08_crm075_hs060_rl005,grid,49,-0.75,0.6,0.05,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t08_crm075_hs060_rl005\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t08_crm075_hs060_rl005\t08_crm075_hs060_rl005-episode-0.mp4,43.252744712690586,46.59748038857405,0.7,74.1,43.252744712690586,0.053807755932211876,0.0052353841019794345,18.952938032150268,0.3,0.5168666809797287,0.02416564499726519,0.0008599043794674799,3589.307476043701
9,t09_crm075_hs060_rl010,grid,50,-0.75,0.6,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t09_crm075_hs060_rl010\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t09_crm075_hs060_rl010\t09_crm075_hs060_rl010-episode-0.mp4,74.63116296416946,49.36748180812009,0.4,130.6,74.63116296416946,0.04691764954477549,0.0036093104397878053,13.824658536911011,0.6,0.5068054825067521,0.045549761515576395,0.0013347491381864528,3537.1750497817993
10,t10_crm100_hs025_rl000,grid,51,-1.0,0.25,0.0,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t10_crm100_hs025_rl000\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t10_crm100_hs025_rl000\t10_crm100_hs025_rl000-episode-0.mp4,99.5983221006135,84.36923468198133,0.5,124.5,99.5983221006135,0.07530575748533011,0.0058157636085525155,13.873957204818726,0.5,0.47382857501506803,0.05573362819850445,0.003374332457315177,3647.3925971984863
